Agadir|30.4170052|-9.5830103
Ahfir|34.953764|-2.0977946
Ait Mansour|29.5474838|-8.875518
Aknoul|34.65602|-3.8652588
Amiziz|31.212582|-8.2293129
Amskroud|30.532927|-9.3308167
Anamer|30.0646058|-8.397452
Azrou / أزرو|33.4361171|-5.2219133
Berkane|34.9266755|-2.3294087
Bouarfa|32.5339939|-1.9580139
Bouizakarne / بو يزكارن|29.1772923|-9.7114456
Boulemane|33.3664097|-4.7307056
Boumalne-du-Dades|31.3741453|-5.9860204
Casablanca|33.596439|-7.6179071
Ceuta|35.8883614|-5.3041384
Chefchaouen|35.169151|-5.2646249
Chichaoua|31.5475671|-8.7623142
El Jadida الجديدة|33.2429276|-8.4988272
Er Rachidia|31.9292779|-4.4335952
Erfoud|31.4326045|-4.2320755
Essaouira|31.5102074|-9.7729598
Fes|34.0341156|-5.0133482
Figuig|32.1108495|-1.2254195
Foum Zguid|30.0904402|-6.8778499
Genfouda|34.1795049|-2.0640878
Genfouda|34.1965092|-2.0682935
Genfouda|34.2080091|-2.0710401
Genfouda|34.2137939|-2.0735292
Genfouda|34.2148231|-2.0738725
Goulmima|31.6926267|-4.9532616
Guelmim|28.9859314|-10.0547644
Guéliz|31.6321881|-8.0108135
Ighrem|30.0890229|-8.4606368
Imouzzer du Kandar|33.7302294|-5.0002725
Imzourene|35.153241|-3.8467439
Kasba-Tadla|32.5828551|-6.2678365
Kassita|34.8909002|-3.7292503
Kenitra|34.2631062|-6.5791919
Ketama|34.9167936|-4.5696536
Khenifra|32.9357614|-5.6695599
Khouribga خريبكة|32.8946124|-6.9229085
Larache|35.1992525|-6.1499223
Maknâs  مكناس|33.8572988|-5.5198723
Marrakesh|31.6246586|-7.9976229
Medina|31.6329463|-7.9884959
Melilla|35.291636|-2.9417904
Midelt|32.6818494|-4.7391324
Mohammedia|33.7057836|-7.3985933
Nador|35.1581208|-2.9461416
Nkob النقوب|30.8716271|-5.8614466
Ouarzazate|30.9277559|-6.921525
Oulmes|33.4247335|-6.0062455
Rabat|33.9867047|-6.8521273
Rissani|31.2831087|-4.2671062
Salé|34.0353506|-6.8220756
Sidi Ifni|29.3791253|-10.1715632
Skhirat|33.8506783|-7.028025
Souk el Arba du Rharb|34.6875201|-6.0002583
Tachakchte|30.8024746|-7.5291424
Tagzirt|32.43117|-6.1863498
Tahalla|29.6413196|-9.0932035
Tamraght Ouzdar|30.5086827|-9.6761595
Tamri|30.6964635|-9.8252536
Tan-Tan  طانطان|28.4375526|-11.0986635
Tangier|35.7682857|-5.8135735
Tarfaya|27.9395992|-12.927248
Taroudant|30.4704183|-8.8765701
Tata|29.7468809|-7.9736573
Tazenakht|30.5766901|-7.2032384
Temara|33.9229273|-6.9084971
Tendrara|33.0500448|-1.9996719
Tetouan|35.5701003|-5.3743232
tizi n'Fougani 3010m|31.4794401|-6.2408689
Tiznit|29.698624|-9.7312815
TRANSIFTE|30.6858404|-6.4388996
Zagora|30.3261546|-5.8374691
آسفي Ifrane|33.5276046|-5.1074083
الخميسات Khemisset|33.8415295|-6.0604428
تازة Safi|32.3004124|-9.2417366
إفران Taza|34.230155|-4.0101041
تاوريرت Taourirt|34.4170993|-2.9083677
تيفلت Tiflet|33.894009|-6.3167296
سكورا Skoura|31.0622638|-6.5544149
صفرو Sefrou|33.8248979|-4.8333359
كرسيف Guercif|34.231902|-3.3229123
وجدة‎ Oujda|34.6800187|-1.920379
‏لقلعَة مگُونَة El-Kelâa M´Gouna|31.2403858|-6.1264394
